Feature,Strategy,Target_Variance,Eta_Squared
C2_RIQ_CLASSE_RAGG,OneHot,6714351278.389652,0.013221675528395338
C2_VETTORE_ENERGETICO,OneHot,,0.011773070815401302
C1_NUMERO_RICAMBI_ORARI,Target,3308736814.946716,0.011625921996156047
OV_ValoreLocazioneSup_normale,OneHot,12865218.625732757,0.010310394989375748
C2_PFR_VETTORE_ENERGETICO_1,OneHot,4441507791.465419,0.009585266470889343
OV_Stato_normale,OneHot,,0.009495089932868248
OV_ValoreMercatoSup_normale,OneHot,,0.009495089932868248
A_Semestre,OneHot,95190993.43882991,0.0085656578407249
C1_CLASSE_ENERGETICA,OneHot,790132444.8553758,0.008098974229199207
A_VenditoriEredita,OneHot,144764032.7496235,0.007987823096430459
C1_MOTIVAZIONE_APE,OneHot,1697507609.371732,0.007927066483668725
C2_CI_VETTORE_ENERGETICO_2,OneHot,3488176613.1073394,0.007910928137284348
C2_CI_TIPO_IMPIANTO_2,OneHot,3488176613.1073394,0.007910928137284348
C2_PFR_VETTORE_ENERGETICO_2,OneHot,11472770542.075851,0.007741502403487495
C2_PFR_TIPO_IMPIANTO_2,OneHot,11472770542.075851,0.007741502403487495
C1_TIPOLOGIA_VENTILAZIONE,OneHot,4390210053.347194,0.006504901657881735
C1_DATA_CHIUSURA_PRATICA,OneHot,277587155.4884943,0.005963215449788924
C1_TIPOLOGIA_COMBUSTIBILE,OneHot,1529158778.2280157,0.005137913119627587
OV_IdZona_scadente,OneHot,86630013.80559768,0.005097249837928113
OV_Id_scadente,OneHot,86630013.80559768,0.005097249837928112
C1_DESTINAZIONE_DI_USO,OneHot,764975223.0437889,0.0048535538682786495
C1_EDIFICIO_PUBBLICO,OneHot,,0.004658563812504367
C1_PROVINCIA,OneHot,,0.004658563812504367
C1_COMUNE,OneHot,,0.004658563812504367
OV_Stato_scadente,OneHot,,0.004628471122905347
OV_ValoreMercatoSup_scadente,OneHot,,0.004628471122905347
OV_IdTipologiaEdilizia_scadente,OneHot,,0.004628471122905347
C2_FL_COMPORTA_RISTRUT_1,OneHot,1241970.94993418,0.0031271335475900035
C2_DS_TIPO_INTERVENTO_1,OneHot,,0.0031248681950072407
C2_FL_COMPORTA_RISTRUT_7,OneHot,132472591.5249694,0.0026048102312949107
C2_DS_TIPO_INTERVENTO_7,OneHot,,0.0025301779304300683
C2_FL_COMPORTA_RISTRUT_2,OneHot,1843456911.1652477,0.0018894065722536498
C2_DS_TIPO_INTERVENTO_2,OneHot,,0.0017104745656672908
C1_SUP_PAN_ST_SUP_UTILE,OneHot,8947524016.672026,0.001142670005696421
C1_SUPERFICIE_APERTURA_ST,OneHot,8947524016.672028,0.001142670005696421
C2_FL_COMPORTA_RISTRUT_3,OneHot,,0.0011158945505902345
C2_DS_TIPO_INTERVENTO_3,OneHot,,0.0011158945505902345
C2_TPC_TIPO_IMPIANTO_1,OneHot,,0.001104962564590734
AI_ConsistenzaUm,OneHot,187827463.91457248,0.00036563023080792223
C2_CI_CODICE_CATASTO_1,OneHot,1004268928.2410313,0.00031318732369426864
A_IdTipoConsistenza,OneHot,81562223.41250114,0.00029206581348508094
C1_TIPOLOGIA_PANNELLO_ST,OneHot,589032447.7253478,9.935774729967789e-05
C2_CE_VETTORE_ENERGETICO_2,OneHot,,3.3748005974157e-05
C2_CE_TIPO_IMPIANTO_2,OneHot,,3.3748005974157e-05
C1_SUPERFICIE_CAPTANTE_FV,OneHot,,1.4760677405921258e-05
C1_SUP_PAN_FV_SUP_UTILE,OneHot,,1.4760677405921258e-05
C1_TIPOLOGIA_PANNELLO_FV,OneHot,,1.4760677405921258e-05
C2_FL_COMPORTA_RISTRUT_5,OneHot,,1.1535679516867579e-07
C2_DS_TIPO_INTERVENTO_5,OneHot,,1.1535679516867579e-07
A_IdConservatoria,OneHot,,3.1391509080168675e-32
II_CODCOM,OneHot,,3.1391509080168675e-32
II_COM_ASC1,OneHot,,3.1391509080168675e-32
II_PROCOM,OneHot,,3.1391509080168675e-32
II_PROVINCIA,OneHot,,3.1391509080168675e-32
II_CODREG,OneHot,,3.1391509080168675e-32
II_REGIONE,OneHot,,3.1391509080168675e-32
