,AI_Superficie,AI_SuperficieVisuraTotaleAttuale,AI_SuperficieVisuraTotaleEAttuale,AI_SuperficieCalcolata,AI_SuperficieVisuraTotale,AI_Rendita,OV_ValoreMercatoMin_ottimo,OV_ValoreMercatoMax_ottimo,AI_ConsistenzaValore,OV_ValoreMercatoMin_normale,OV_ValoreMercatoMax_normale,II_ST19,II_ST1,II_P88,AI_IdParticellaCatastale,ISC_Sez21,II_P2,II_P84,II_P1,ISC_Pop21,AI_IdCategoriaCatastale,AI_IdTipologiaEdilizia,AI_IdSettoreMercato,OZ_LinkZona,OZ_Zona,OZ_CodiceZona,A_IdDecodificaAtto,A_IdTipologiaAtto,AI_ConsistenzaUm,A_Semestre
OV_ValoreMercatoMax_normale,0.014744598100972254,0.007056283929612225,0.00913510495034372,0.0029326679178115125,-0.00020376564496396227,0.06571753805490524,0.9846869408490594,0.9691208059155537,0.03113476444851147,0.9905895384026765,1.0,-0.20892619748224567,-0.2123343383240319,-0.140912017973294,0.148020687477677,-0.3445311529062028,-0.04700082089638174,-0.04047737437114665,-0.03055455434575239,-0.03055455434575239,0.5629054058018833,0.5609206044082179,0.03481085255044772,0.6800935660272965,0.6800935660272965,0.6800935660272965,0.29298894190090147,0.2921799297999197,0.059214328406656705,0.06904767393543448
II_ST19,-0.05484538465246705,-0.05379065674601439,-0.05244346567148288,-0.043417904699931384,-0.04748251687640405,-0.04010428035905469,-0.13437469014645673,-0.1269918847225213,-0.05410563974557754,-0.2113989089796368,-0.20892619748224567,1.0,0.9944715981851264,0.7369566791635629,-0.08332366154907281,0.043053750105301325,0.6574472830896698,0.6429669509161041,0.6218609882042296,0.6218609882042296,0.0955777076847165,0.08324592674613639,0.038984747684226564,0.4826059778216038,0.4826059778216038,0.4826059778216038,0.11509539906779458,0.07089589856717818,0.021191482750145544,0.1451582043995911
II_ST1,-0.05583650646552963,-0.05498190259818765,-0.05404959993553007,-0.04438418436201974,-0.04906334846185889,-0.042028465939990704,-0.13413939640491568,-0.12798321664431964,-0.05529216322297864,-0.21439973542597357,-0.2123343383240319,0.9944715981851264,1.0,0.7547964322863298,-0.08867592907655415,0.059675031755491,0.6803422982938853,0.6652543129885101,0.6441658689329643,0.6441658689329643,0.09771772444128798,0.08632032048027254,0.042411414566258285,0.4827298433999025,0.4827298433999025,0.4827298433999025,0.12273198954221412,0.07801500067587097,0.02250039602004305,0.14767100464192157
II_P88,-0.05588204646498176,-0.06205202847286477,-0.06362890974042563,-0.04455765808005929,-0.04396737247001109,-0.035074949959898294,-0.0874352338789067,-0.0912444702212309,-0.0719299721562467,-0.14320703621354947,-0.140912017973294,0.7369566791635629,0.7547964322863298,1.0,-0.11776620655775669,0.0009203461243153043,0.9504407821358688,0.9488852776245376,0.9503180213863782,0.9503180213863782,0.1349206326768165,0.12589162440654425,0.0685308864464763,0.3811983630196783,0.3811983630196783,0.3811983630196783,0.18566519869243236,0.08695493422461645,0.0275887450495916,0.14140184912675507
AI_IdParticellaCatastale,0.02854545886534278,0.02808189440721923,0.02630519193240975,0.024356331307757568,0.02567820977887089,0.019934588459040024,0.10735874358038242,0.09381649201702431,0.022094037360284195,0.1532110156850931,0.148020687477677,-0.08332366154907281,-0.08867592907655415,-0.11776620655775669,1.0,-0.025067994016809668,-0.07140144450986508,-0.07168859858097999,-0.07924028387453683,-0.07924028387453683,0.07630111719074406,0.07607097465861903,0.020269681044595752,0.2731792672573941,0.2731792672573941,0.2731792672573941,0.1018472637512554,0.08467261654152011,0.012288717152688223,0.11083435224545198
ISC_Sez21,-0.019042450603922054,0.010708645962570233,0.0011511748127058625,-0.014130094320208987,-0.05935276346218164,-0.07682759022129197,-0.20391581094220457,-0.2505190146110973,0.006323745064707051,-0.34096636565279526,-0.3445311529062028,0.043053750105301325,0.059675031755491,0.0009203461243153043,-0.025067994016809668,1.0,-0.0541829995015776,-0.06403499620480357,-0.07828276088546361,-0.07828276088546361,0.15510051156726712,0.14536300056723256,0.07002362511308492,0.7227154053086454,0.7227154053086454,0.7227154053086454,0.13828446199164204,0.11395009273400176,0.022098865782901704,0.12203683462394352
II_P2,-0.050429037761554274,-0.057826961108746244,-0.059970652489019546,-0.04188135909211155,-0.032292690476118775,-0.009578552609761029,-0.03189221380280438,-0.03830848275087084,-0.07067204327934898,-0.046438057917799175,-0.04700082089638174,0.6574472830896698,0.6803422982938853,0.9504407821358688,-0.07140144450986508,-0.0541829995015776,1.0,0.998680300698323,0.9938018649577863,0.9938018649577863,0.15524743628356194,0.15102454072081345,0.057353305097427656,0.3050386274964071,0.3050386274964071,0.3050386274964071,0.2019211526974703,0.07380326810812711,0.028634148746727053,0.1408498335645962
II_P84,-0.04992733190559027,-0.057585585666944335,-0.05957164738223542,-0.04146759159020284,-0.03174461896233371,-0.008786067761680005,-0.03006922049115151,-0.035764116004769426,-0.07071620496351975,-0.0400233769096496,-0.04047737437114665,0.6429669509161041,0.6652543129885101,0.9488852776245376,-0.07168859858097999,-0.06403499620480357,0.998680300698323,1.0,0.9950967821910982,0.9950967821910982,0.15418010648486605,0.15037574407328613,0.05595912464326258,0.3023206083284302,0.3023206083284302,0.3023206083284302,0.20156226934585056,0.07450557559661501,0.02861663808815678,0.1408144753749761
II_P1,-0.049607830989147624,-0.05800584933019332,-0.05963589600766168,-0.040270473776401035,-0.031513254909178536,-0.007559142074620102,-0.027551572279651677,-0.03275056678993773,-0.07065375891837086,-0.030213534456344983,-0.03055455434575239,0.6218609882042296,0.6441658689329643,0.9503180213863782,-0.07924028387453683,-0.07828276088546361,0.9938018649577863,0.9950967821910982,1.0,1.0,0.15562985763145953,0.151792722917271,0.05684281285473554,0.30822626191086683,0.30822626191086683,0.30822626191086683,0.20205616934956364,0.07888857670467193,0.028800194466186424,0.13944307940531755
ISC_Pop21,-0.049607830989147624,-0.05800584933019332,-0.05963589600766168,-0.040270473776401035,-0.031513254909178536,-0.007559142074620102,-0.027551572279651677,-0.03275056678993773,-0.07065375891837086,-0.030213534456344983,-0.03055455434575239,0.6218609882042296,0.6441658689329643,0.9503180213863782,-0.07924028387453683,-0.07828276088546361,0.9938018649577863,0.9950967821910982,1.0,1.0,0.15562985763145953,0.151792722917271,0.05684281285473554,0.30822626191086683,0.30822626191086683,0.30822626191086683,0.20205616934956364,0.07888857670467193,0.028800194466186424,0.13944307940531755
AI_IdCategoriaCatastale,0.590426857753761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3706896939025971,0.5684898045945338,0.5629054058018833,0.0955777076847165,0.09771772444128798,0.1349206326768165,0.07630111719074406,0.15510051156726712,0.15524743628356194,0.15418010648486605,0.15562985763145953,0.15562985763145953,1.0,0.9998253122530125,0.899923070508845,0.12870702560704453,0.12870702560704453,0.12870702560704453,0.36529691093769373,0.439756910454892,0.45601604228267045,0.04486545690290994
AI_IdTipologiaEdilizia,0.5897781960508596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36918932575615077,0.5661480628880843,0.5609206044082179,0.08324592674613639,0.08632032048027254,0.12589162440654425,0.07607097465861903,0.14536300056723256,0.15102454072081345,0.15037574407328613,0.151792722917271,0.151792722917271,0.9998253122530125,1.0,0.9001169773833197,0.13965671681976888,0.13965671681976888,0.13965671681976888,0.3616698710849581,0.438982602199145,0.45556677007880925,0.049738637453843264
AI_IdSettoreMercato,0.5938285252247121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41925959951065267,0.043260479119375514,0.03481085255044772,0.038984747684226564,0.042411414566258285,0.0685308864464763,0.020269681044595752,0.07002362511308492,0.057353305097427656,0.05595912464326258,0.05684281285473554,0.05684281285473554,0.899923070508845,0.9001169773833197,1.0,0.11014410736746856,0.11014410736746856,0.11014410736746856,0.6351918060634051,0.6319181584413969,0.4489415241529523,0.040727608625488694
OZ_LinkZona,0.12855617493537377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13259537118636736,0.6891767659327284,0.6800935660272965,0.4826059778216038,0.4827298433999025,0.3811983630196783,0.2731792672573941,0.7227154053086454,0.3050386274964071,0.3023206083284302,0.30822626191086683,0.30822626191086683,0.12870702560704453,0.13965671681976888,0.11014410736746856,1.0,1.0,1.0,0.11960418589978133,0.11490034372155897,0.08530011587104808,0.08516055836780821
OZ_Zona,0.12855617493537377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13259537118636736,0.6891767659327284,0.6800935660272965,0.4826059778216038,0.4827298433999025,0.3811983630196783,0.2731792672573941,0.7227154053086454,0.3050386274964071,0.3023206083284302,0.30822626191086683,0.30822626191086683,0.12870702560704453,0.13965671681976888,0.11014410736746856,1.0,1.0,1.0,0.11960418589978132,0.11490034372155895,0.08530011587104808,0.0851605583678082
OZ_CodiceZona,0.12855617493537377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13259537118636736,0.6891767659327284,0.6800935660272965,0.4826059778216038,0.4827298433999025,0.3811983630196783,0.2731792672573941,0.7227154053086454,0.3050386274964071,0.3023206083284302,0.30822626191086683,0.30822626191086683,0.12870702560704453,0.13965671681976888,0.11014410736746856,1.0,1.0,1.0,0.11960418589978132,0.11490034372155895,0.08530011587104808,0.0851605583678082
A_IdDecodificaAtto,0.26937279501961564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559274794465999,0.26598526481065343,0.29298894190090147,0.11509539906779458,0.12273198954221412,0.18566519869243236,0.1018472637512554,0.13828446199164204,0.2019211526974703,0.20156226934585056,0.20205616934956364,0.20205616934956364,0.36529691093769373,0.3616698710849581,0.6351918060634051,0.11960418589978133,0.11960418589978132,0.11960418589978132,1.0,0.9998254037524885,0.17967923659282614,0.10107732855014716
A_IdTipologiaAtto,0.2551165646771206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500857635696159,0.26427505759670716,0.2921799297999197,0.07089589856717818,0.07801500067587097,0.08695493422461645,0.08467261654152011,0.11395009273400176,0.07380326810812711,0.07450557559661501,0.07888857670467193,0.07888857670467193,0.439756910454892,0.438982602199145,0.6319181584413969,0.11490034372155897,0.11490034372155895,0.11490034372155895,0.9998254037524885,1.0,0.17847244362767894,0.07817350373052843
AI_ConsistenzaUm,0.23598242110461906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3122217229579574,0.033711753117092604,0.059214328406656705,0.021191482750145544,0.02250039602004305,0.0275887450495916,0.012288717152688223,0.022098865782901704,0.028634148746727053,0.02861663808815678,0.028800194466186424,0.028800194466186424,0.45601604228267045,0.45556677007880925,0.4489415241529523,0.08530011587104808,0.08530011587104808,0.08530011587104808,0.17967923659282614,0.17847244362767894,1.0,0.6251446019945982
A_Semestre,0.037287013487646486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35561808277772405,0.08652371212127437,0.06904767393543448,0.1451582043995911,0.14767100464192157,0.14140184912675507,0.11083435224545198,0.12203683462394352,0.1408498335645962,0.1408144753749761,0.13944307940531755,0.13944307940531755,0.04486545690290994,0.049738637453843264,0.040727608625488694,0.08516055836780821,0.0851605583678082,0.0851605583678082,0.10107732855014716,0.07817350373052843,0.6251446019945982,1.0
