,AI_Rendita,AI_SuperficieVisuraTotaleAttuale,AI_SuperficieVisuraTotaleEAttuale,AI_SuperficieVisuraTotale,AI_Superficie,AI_SuperficieVisuraTotaleE,AI_SuperficieCalcolata,OV_ValoreMercatoMin_normale,OV_ValoreMercatoMax_normale,OV_ValoreMercatoMax_ottimo,OV_ValoreMercatoMin_ottimo,II_ST2_B,II_ST21,II_ST1,II_ST29,II_ST19,II_ST23,II_ST31,II_ST4,II_ST22,II_ST2,II_ST20,POI_lodging_count,II_ST32,II_ST26,II_ST3,AI_ConsistenzaValore,POI_restaurant_count,II_P98,II_PF3,AI_Prezzo_Ridistribuito,AI_Prezzo_MQ
OV_ValoreMercatoMin_ottimo,0.2781430403067081,0.17550964845164774,0.20930072674622696,0.14621482989566256,0.14621482989566256,0.18097168145187814,0.15005528236488613,0.8818199245383107,0.8529358814301286,0.8997055775101032,1.0,-0.31604344194701367,-0.2641502394156602,-0.3370784933883984,-0.2762439306465791,-0.2904686720391634,-0.3007355222294163,-0.30207857677153727,-0.28872065978926853,-0.3794441269996114,-0.34564912660690544,-0.31165071058390476,0.7936126111663174,-0.34432375241193397,-0.318424886242545,-0.3751074182538907,0.04615593594033712,0.744713930949306,-0.22480431745244084,0.01025512386265164,0.4261608750528746,0.4960154986582476
II_ST2_B,-0.15018622895427247,-0.1810980102397893,-0.174684152504305,-0.1836237527686012,-0.1836237527686012,-0.1752219014774561,-0.12589310607085813,-0.3869242033806222,-0.4126213006394253,-0.3129153891487954,-0.31604344194701367,1.0,0.9757115135981642,0.9801435403860158,0.9856853908146668,0.9575631810402054,0.9719977296320095,0.9394851684167846,0.9403595147932036,0.8517696534409713,0.9193413198595823,0.9031935584128195,-0.2370376304598412,0.8878800207617126,0.9027483726656945,0.9105209772029502,-0.12707190579827937,-0.14067822874551117,0.8232949903445119,0.7465641795952319,-0.37219372939986856,-0.3959360097845921
II_ST21,-0.1364163733183722,-0.17792677064588525,-0.1671587814010294,-0.17813848827807485,-0.17813848827807485,-0.1654473965387846,-0.11702717117507218,-0.34770525119001805,-0.37376490990819566,-0.2547509112441055,-0.2641502394156602,0.9757115135981642,1.0,0.9616593221343612,0.9581132278260059,0.9798728407034232,0.9516758528367507,0.9168391365719938,0.9211673267012589,0.8483087792230234,0.9058006697615127,0.9209960586821085,-0.16163002740008003,0.8603071692268418,0.8874091855026537,0.8940177658502403,-0.11810543177495969,-0.0698564748656959,0.777495286988342,0.7349018200141989,-0.3689122574705959,-0.39489501355443807
II_ST1,-0.16277350559775766,-0.18927239900312026,-0.18401807624196231,-0.19290338572572244,-0.19290338572572244,-0.18593131879279523,-0.1307105700439066,-0.4135839888739854,-0.44055490256962143,-0.3316712171415546,-0.3370784933883984,0.9801435403860158,0.9616593221343612,1.0,0.9686069155475933,0.9781806239196104,0.9920412676666605,0.9690155309228334,0.966268060315132,0.8798729262116136,0.9757109851957331,0.9578613244233171,-0.25532531686295595,0.9439560582743803,0.9602206440616846,0.9351409238357294,-0.1264066416365655,-0.15577349596470685,0.8129500532276474,0.7335220844558755,-0.38648255386135777,-0.4073514418891163
II_ST29,-0.14371384219663624,-0.181465136128344,-0.1748755124129246,-0.18351331236085305,-0.18351331236085305,-0.17504731275376617,-0.12718458998653756,-0.3457678358493499,-0.37447824299692056,-0.275968011054674,-0.2762439306465791,0.9856853908146668,0.9581132278260059,0.9686069155475933,1.0,0.9418656530382152,0.9768752313764066,0.9500269664403238,0.9545524592817313,0.808431988829533,0.9128615216433291,0.890820426311244,-0.21290948513785368,0.8864852988846605,0.8992080923418695,0.8796424033898957,-0.13389940178629395,-0.11857905791233261,0.8210369347757664,0.7579499737617955,-0.35294816563221576,-0.36899052391916387
II_ST19,-0.1600606583805747,-0.19714054233513947,-0.18755967055706155,-0.19909480136886926,-0.19909480136886926,-0.18780822233259536,-0.13278144642320253,-0.3797093265063832,-0.40721479935146676,-0.2772842786227513,-0.2904686720391634,0.9575631810402054,0.9798728407034232,0.9781806239196104,0.9418656530382152,1.0,0.9689879986198546,0.9464979294321046,0.9454980540234149,0.8693014770507783,0.9580684103298887,0.9768001254698386,-0.18703958545521515,0.9132132405953116,0.9421288562264697,0.9124759011427329,-0.12357463583914871,-0.09745583908564905,0.7731613311795609,0.7320607699047073,-0.38781192394801867,-0.4031273751560589
II_ST23,-0.15445802262005792,-0.18881575818790639,-0.1831033302402619,-0.19230773988121397,-0.19230773988121397,-0.18508982553985445,-0.13038643759078491,-0.38041389394426833,-0.40867059603776407,-0.29692782464399087,-0.3007355222294163,0.9719977296320095,0.9516758528367507,0.9920412676666605,0.9768752313764066,0.9689879986198546,1.0,0.9785331245604127,0.9766281876670513,0.8353625254227943,0.9704000811356216,0.9491917186142987,-0.22930506113515198,0.94967507067245,0.9669564208316461,0.9096121400239152,-0.13708427774226978,-0.12849934592111864,0.8235155521877381,0.757207763909926,-0.37295679722766284,-0.3889258677761446
II_ST31,-0.15332554049526473,-0.18871623434902504,-0.18393890124140672,-0.19166399784354396,-0.19166399784354396,-0.18540867879385323,-0.12791793561237066,-0.38690145702187767,-0.42077041763253864,-0.29758430078224984,-0.30207857677153727,0.9394851684167846,0.9168391365719938,0.9690155309228334,0.9500269664403238,0.9464979294321046,0.9785331245604127,1.0,0.9671229177847995,0.8026667892956368,0.9615628019147922,0.9399348962247874,-0.24195370609928468,0.9660677970237667,0.9609128689490191,0.8740049214858832,-0.14004136369976183,-0.14130287026947652,0.8229358674415694,0.7626713650573371,-0.36374980043631877,-0.3748413523042501
II_ST4,-0.15888800009880352,-0.18518748076859934,-0.18031065738682397,-0.1894754320987992,-0.1894754320987992,-0.18298098977022728,-0.13220565576123053,-0.36959986025326036,-0.39820025558527455,-0.2855769486978139,-0.28872065978926853,0.9403595147932036,0.9211673267012589,0.966268060315132,0.9545524592817313,0.9454980540234149,0.9766281876670513,0.9671229177847995,1.0,0.8079391841513237,0.9551944552551371,0.9339010737451375,-0.22087004007554759,0.9369277302862942,0.9533825950524961,0.8540612732189626,-0.13008059044642006,-0.14639302411729216,0.8142553363773773,0.7609002679078866,-0.35115178025321203,-0.3612240677453496
II_ST22,-0.1348899894294789,-0.1354993506433181,-0.12950553098885972,-0.13665877243476549,-0.13665877243476549,-0.12880273549820026,-0.08922798895557339,-0.4365038815867447,-0.45727897813552515,-0.3632602791662253,-0.3794441269996114,0.8517696534409713,0.8483087792230234,0.8798729262116136,0.808431988829533,0.8693014770507783,0.8353625254227943,0.8026667892956368,0.8079391841513237,1.0,0.8781914207852959,0.8665543070401811,-0.2969031855234936,0.8121223627554811,0.8209601337212453,0.9450565160441513,-0.08478149846670438,-0.2189780678087717,0.6339776455006688,0.5197650584308509,-0.3532466719318354,-0.398191550991971
II_ST2,-0.16756653397353855,-0.18895935051988313,-0.18464376829142176,-0.19383090955126062,-0.19383090955126062,-0.18816522016378742,-0.1290017828864992,-0.42518904543757186,-0.4545316389319072,-0.33433261247951734,-0.34564912660690544,0.9193413198595823,0.9058006697615127,0.9757109851957331,0.9128615216433291,0.9580684103298887,0.9704000811356216,0.9615628019147922,0.9551944552551371,0.8781914207852959,1.0,0.980142333672039,-0.2717813424632559,0.9708828781117693,0.9864360586979569,0.9254727075352113,-0.12243491915066711,-0.17492770551690057,0.7751728822238061,0.6932452905585329,-0.3929376937967761,-0.4115058481951185
II_ST20,-0.17699062470304872,-0.2065873832421689,-0.19940360586876008,-0.21092634706816943,-0.21092634706816943,-0.20235289783936647,-0.14277934743123813,-0.3999343250734256,-0.42646701465876535,-0.29610868326031725,-0.31165071058390476,0.9031935584128195,0.9209960586821085,0.9578613244233171,0.890820426311244,0.9768001254698386,0.9491917186142987,0.9399348962247874,0.9339010737451375,0.8665543070401811,0.980142333672039,1.0,-0.22049723745000913,0.9397422212176724,0.9649551817603091,0.9036481012024968,-0.12361130085781548,-0.13682806311560688,0.7371008961966686,0.6913305528890048,-0.39619960375410646,-0.40122792532246954
POI_lodging_count,0.13706433202358384,0.06338391450276137,0.10417503617782643,0.05361229852848914,0.05361229852848914,0.09597694356823966,0.025684673364854547,0.7205087557666383,0.7034766887185366,0.7977757561686158,0.7936126111663174,-0.2370376304598412,-0.16163002740008003,-0.25532531686295595,-0.21290948513785368,-0.18703958545521515,-0.22930506113515198,-0.24195370609928468,-0.22087004007554759,-0.2969031855234936,-0.2717813424632559,-0.22049723745000913,1.0,-0.2941337803408031,-0.24912216233633597,-0.2961710012107968,0.057898346173375005,0.8778932019154266,-0.2262809656357839,0.0004175119933126432,0.27235001271984804,0.3501398788411686
II_ST32,-0.1504576010552906,-0.17035848389540464,-0.16843216539001515,-0.17486660413403926,-0.17486660413403926,-0.1719381231325286,-0.1149364029236355,-0.4222054436144358,-0.45225466916923457,-0.33410503721357393,-0.34432375241193397,0.8878800207617126,0.8603071692268418,0.9439560582743803,0.8864852988846605,0.9132132405953116,0.94967507067245,0.9660677970237667,0.9369277302862942,0.8121223627554811,0.9708828781117693,0.9397422212176724,-0.2941337803408031,1.0,0.979968857661546,0.8769712467981677,-0.12108637222006163,-0.18633351134185985,0.778991777430883,0.6941210193125368,-0.3729373494090324,-0.3967095872323477
II_ST26,-0.16825043738749695,-0.190671491053908,-0.18669412467073965,-0.19572532223469813,-0.19572532223469813,-0.19056731143890465,-0.13276637240415037,-0.40507704381717863,-0.4332408335475615,-0.30775838851660164,-0.318424886242545,0.9027483726656945,0.8874091855026537,0.9602206440616846,0.8992080923418695,0.9421288562264697,0.9669564208316461,0.9609128689490191,0.9533825950524961,0.8209601337212453,0.9864360586979569,0.9649551817603091,-0.24912216233633597,0.979968857661546,1.0,0.8908600986536529,-0.12885239364101028,-0.15662757222523474,0.7870844096542025,0.7169767787528815,-0.3861937264579104,-0.40061746933169634
II_ST3,-0.151772880210137,-0.15828119945216432,-0.15529788884844165,-0.15918759274276692,-0.15918759274276692,-0.15455471153111355,-0.10726630473531816,-0.43229935119033563,-0.451505941437723,-0.36766654590604414,-0.3751074182538907,0.9105209772029502,0.8940177658502403,0.9351409238357294,0.8796424033898957,0.9124759011427329,0.9096121400239152,0.8740049214858832,0.8540612732189626,0.9450565160441513,0.9254727075352113,0.9036481012024968,-0.2961710012107968,0.8769712467981677,0.8908600986536529,1.0,-0.10007013443381817,-0.1951447255990784,0.6956257378289276,0.5863709052823992,-0.3794482112901604,-0.4184176968009148
AI_ConsistenzaValore,0.4635781784856714,0.4907858241061938,0.4874174840499507,0.4939010228546944,0.4939010228546944,0.49105407064526974,0.4137946547979432,0.19372989466144225,0.26864685663163523,0.2889393580715536,0.04615593594033712,-0.12707190579827937,-0.11810543177495969,-0.1264066416365655,-0.13389940178629395,-0.12357463583914871,-0.13708427774226978,-0.14004136369976183,-0.13008059044642006,-0.08478149846670438,-0.12243491915066711,-0.12361130085781548,0.057898346173375005,-0.12108637222006163,-0.12885239364101028,-0.10007013443381817,1.0,0.08235256047108651,-0.10620097905051036,-0.1397561872601281,0.42674472924189655,0.17777970069099217
POI_restaurant_count,0.19910654813460565,0.09727068738080333,0.14044501424211053,0.08822040963779348,0.08822040963779348,0.1322949979480251,0.10238209706889892,0.6653052323189769,0.6280085849384283,0.752019894550078,0.744713930949306,-0.14067822874551117,-0.0698564748656959,-0.15577349596470685,-0.11857905791233261,-0.09745583908564905,-0.12849934592111864,-0.14130287026947652,-0.14639302411729216,-0.2189780678087717,-0.17492770551690057,-0.13682806311560688,0.8778932019154266,-0.18633351134185985,-0.15662757222523474,-0.1951447255990784,0.08235256047108651,1.0,-0.15479335847215278,0.026632669144909797,0.2570830759206785,0.31008073664271635
II_P98,-0.09184078758989786,-0.14206850167751156,-0.14055967133872255,-0.13720090040490457,-0.13720090040490457,-0.13386774667039758,-0.08618953300581254,-0.306544560624717,-0.32507014495943687,-0.24227770660831754,-0.22480431745244084,0.8232949903445119,0.777495286988342,0.8129500532276474,0.8210369347757664,0.7731613311795609,0.8235155521877381,0.8229358674415694,0.8142553363773773,0.6339776455006688,0.7751728822238061,0.7371008961966686,-0.2262809656357839,0.778991777430883,0.7870844096542025,0.6956257378289276,-0.10620097905051036,-0.15479335847215278,1.0,0.8842339414416907,-0.24354495943441923,-0.25109850346327606
II_PF3,-0.10961581543143811,-0.20318989998999173,-0.19266677324950082,-0.20554042415021914,-0.20554042415021914,-0.19302295687151177,-0.16281763801174282,-0.09890250913736875,-0.12450658236228009,-0.010841075236212016,0.01025512386265164,0.7465641795952319,0.7349018200141989,0.7335220844558755,0.7579499737617955,0.7320607699047073,0.757207763909926,0.7626713650573371,0.7609002679078866,0.5197650584308509,0.6932452905585329,0.6913305528890048,0.0004175119933126432,0.6941210193125368,0.7169767787528815,0.5863709052823992,-0.1397561872601281,0.026632669144909797,0.8842339414416907,1.0,-0.2097313592349286,-0.14493620342118935
AI_Prezzo_Ridistribuito,0.7016735732452252,0.6821719243460493,0.6785902433606279,0.6656180170911271,0.6656180170911271,0.6623372977494646,0.6221568674658136,0.47439256319509954,0.47877833890439986,0.443470191748721,0.4261608750528746,-0.37219372939986856,-0.3689122574705959,-0.38648255386135777,-0.35294816563221576,-0.38781192394801867,-0.37295679722766284,-0.36374980043631877,-0.35115178025321203,-0.3532466719318354,-0.3929376937967761,-0.39619960375410646,0.27235001271984804,-0.3729373494090324,-0.3861937264579104,-0.3794482112901604,0.42674472924189655,0.2570830759206785,-0.24354495943441923,-0.2097313592349286,1.0,0.7790488984914371
AI_Prezzo_MQ,0.25648124509894965,0.1414348261881164,0.14024774152790226,0.11432963584473226,0.11432963584473226,0.11337116103499689,0.10532446863831148,0.5595862795760351,0.5606081186804321,0.5023757294158102,0.4960154986582476,-0.3959360097845921,-0.39489501355443807,-0.4073514418891163,-0.36899052391916387,-0.4031273751560589,-0.3889258677761446,-0.3748413523042501,-0.3612240677453496,-0.398191550991971,-0.4115058481951185,-0.40122792532246954,0.3501398788411686,-0.3967095872323477,-0.40061746933169634,-0.4184176968009148,0.17777970069099217,0.31008073664271635,-0.25109850346327606,-0.14493620342118935,0.7790488984914371,1.0
